bomb,폭탄; 폭격하다
emit,"(소리,빛,열 등을) 내다, 발산하다"
dismiss,"해고하다, 해산시키다, 묵살하다"
omit,"생략하다, ~을 빠뜨리다, 빼다"
submit,"제출하다, 항복하다, 굴복하다"
compassion,"연민, 동정"
sympathy,"동정, 공감"
passion,열정
antipathy,반감
porter,"짐꾼, 운반기"
export,"수출하다, 수출"
import,"수입하다, 수입"
transport,"운송하다, 수송하다, 운송, 수송"
support,"지지하다, 지원하다"
portable,"휴대할 수 있는, 휴대용의"
potable,"마시기에 적합한, 휴대용의"
press,"내리 누르다, 압박하다, 신문, 잡지, 보도 기자"
pressure,"압력, 압박"
depress,"우울하게 만들다, 부진하게 하다"
compress,"압축하다, 꾹 누르다"
express,"표현하다, 나타내다, 급행의, 속달의"
oppress,"억압하다, 탄압하다"
suppress,"진압하다, 억누르다"
prime,"주된, 주요한, 최고의"
primitive,"원시의, 원시 사회의"
primate,영장류
principal,"주요한, 제일의, 우두머리, 교장"
principle,"원리, 원칙, 주의"
request,"요청, 요구, 요청하다, 요구하다"
acquire,"얻다, 획득하다"
inquire,질문하다
require,"요구하다, 필요로 하다"
correct,"정정하다, 바로잡다; 올바른"
rectangle,직사각형
direct,"똑바른, 직접적인, 지시하다, 지도하다, ~에게 길을 가리키다"
direction,"방향, 지시"
erect,"직립의, 똑바로 선, 똑바로 세우다, 건립하다"
consent,"동의하다, 허락하다, 동의"
resent,분개하다
sensible,"분별할 수 있는, 분별 있는, 현명한"
sensitive,"민감한, 섬세한"
sensation,"감각, 느낌, 센세이션, 대사건, 돌풍"
sentiment,"감정, 정사"
simulate,"가장하다, 모의 실험하다"
similar,"같은, 유사한"
simultaneous,"동시에 일어나는, 동시의"
exist,"존재하다, 생존하다"
resist,"저항하다, 반대하다"
consist,"구성되다, 일치하다"
prospect,"가망, 예상, 경치"
spectacle,"광경, 구경거리"
specific,"구체적인, 명확한, 독특한"
perspective,"관점, 시각, 원근법"
inspect,"점검하다, 조사하다"
aspect,"국면, 측면"
circumstance,"환경, 상황"
estate,"재산, 부동산"
establish,"설립히다, ~을 확립하다"
statue,"동상, 조각상"
status,"지위, 상황"
stable,"안정적인, 견고한"
constant,"불변의, 끊임없는"
tempo,"속도, 박자, 템포"
contemporary,"현대의, 동시대의"
temporary,"일시적인, 임시의"
advocate,"옹호하다, 지지하다, 옹호자, 지지자"
vocal,"목소리의, 성악의"
voice,"목소리, 음성"
vocabulary,"어휘, 단어집"
flee ,"달아나다, 도망치다"
orchard,과수원
tease,"집적거리다, 괴롭히다"
territory,"영토, 영역, 지역"
acid,"신, 산성의; 산, 신 것"
yield,"생산하다, 초래하다, 양보하다"
punctual,시간을 엄수하는
myth,"신화, (근거없는) 이야기"
peculiar,"기묘한, 독특한"
queer,"기묘한, 괴상한"
naughty,"장난꾸러기의, 버릇없는"
avalanche,"눈사태, 산사태, 쇄도"
fertile,"비옥한, 다산의"
illusion,"환영, 망상, 착각"
skeleton,"해골, 뼈대"
modify,"수정하다, 변경하다"
carve,"새기다, 조각하다"
miser,구두쇠
strategy,"전략, 전술"
riddle,수수께끼
realm,"왕국, 범위, 영역"
pile,쌓다; 쌓아올린 더미
paw,(동물의) 발
mummy,미라
legacy,유산
